Year,kms Driven,Fuel Type,Suspension,Price,Car Model
2015,26107,Petrol,Manual,501999.99999999994,Honda Brio S
2019,85759,Petrol,Automatic,1157000.0,Honda City i-VTEC
2016,66731,Diesel,Manual,571000.0,Honda City i
2015,52087,Petrol,Manual,480999.99999999994,Honda Jazz 1.2
2016,58000,Petrol,Manual,625000.0,Honda City i
2019,41000,Petrol,Manual,609000.0,Honda Amaze S
2017,81904,Petrol,Manual,720000.0,Honda City i
2015,61314,Petrol,Manual,505999.99999999994,Honda Amaze S
2015,75611,Petrol,Automatic,533000.0,Honda Jazz 1.2
2018,50000,Petrol,Automatic,1050000.0,Honda City Anniversary
2012,51511,Petrol,Automatic,421000.0,Honda City V
2018,34016,Petrol,Manual,809000.0,Honda WR-V i-VTEC
2013,59617,Petrol,Manual,323000.0,Honda Brio S
2017,70336,Petrol,Manual,586000.0,Honda WR-V i-VTEC
2016,38532,Petrol,Manual,842000.0,Honda City i
2019,34876,Petrol,Manual,665000.0,Honda Amaze S
2017,100000,Diesel,Manual,825000.0,Honda City i-DTEC
2016,67329,Petrol,Automatic,762000.0,Honda City i
2022,10000,Petrol,Manual,1044000.0,Honda WR-V VX
2014,47867,Petrol,Automatic,1035000.0,Honda CR-V 2.4L
2018,9205,Petrol,Manual,650000.0,Honda Amaze V
2009,137319,Petrol,Manual,300000.0,Honda City 1.5
2017,50000,Petrol,Automatic,800000.0,Honda City i-VTEC
2013,90000,Petrol,Manual,540000.0,Honda City V
2017,86945,Petrol,Automatic,700000.0,Honda City i-VTEC
2016,73494,Petrol,Manual,423000.00000000006,Honda Amaze S
2019,10925,Petrol,Automatic,775000.0,Honda Amaze V
2016,35000,Petrol,Automatic,850000.0,Honda BR-V i-VTEC
2016,59000,Petrol,Manual,650000.0,Honda BR-V i-VTEC
2018,33000,Petrol,Automatic,899000.0,Honda City i-VTEC
2015,48509,Petrol,Automatic,585000.0,Honda Jazz 1.2
2016,64393,Petrol,Automatic,480000.0,Honda Jazz 1.2
2016,28000,Petrol,Manual,590000.0,Honda City i
2013,33912,Petrol,Manual,285000.0,Honda Brio S
2015,46000,Petrol,Automatic,545000.0,Honda Jazz 1.2
2009,70200,Petrol,Automatic,295000.0,Honda City 1.5
2014,30000,Petrol,Manual,675000.0,Honda City V
2017,70000,Petrol,Automatic,835000.0,Honda City ZX
2019,26000,Petrol,Manual,675000.0,Honda BR-V i-VTEC
2014,79074,Diesel,Manual,585000.0,Honda City i
2018,43326,Petrol,Manual,484999.99999999994,Honda Amaze EX
2014,79074,Petrol,Manual,585000.0,Honda City i
2010,72000,Petrol,Manual,280000.0,Honda City 1.5
2018,60000,Petrol,Manual,550000.0,Honda Amaze S
2017,30000,Petrol,Manual,695000.0,Honda City i
2015,40000,Petrol,Automatic,650000.0,Honda Jazz 1.2
2015,18000,Petrol,Automatic,725000.0,Honda City i
2014,70000,Diesel,Manual,434999.99999999994,Honda City i
2014,80000,Diesel,Manual,480000.0,Honda City i
2018,43326,Petrol,Manual,484999.99999999994,Honda Amaze E
2018,43326,Petrol,Manual,484999.99999999994,Honda Amaze E
2017,31000,Petrol,Manual,693000.0,Honda City i
2017,30991,Petrol,Automatic,950000.0,Honda City i-VTEC
2023,5000,Petrol,Manual,700000.0,Honda Amaze S
2015,88000,Petrol,Manual,449000.0,Honda Amaze S
2020,33174,Diesel,Manual,919999.9999999999,Honda WR-V i-DTEC
2013,110000,Diesel,Manual,200000.0,Honda Amaze E
2013,48500,Petrol,Manual,289000.0,Honda Brio VX
2015,140499,Diesel,Manual,530000.0,Honda City i
2012,66000,Petrol,Manual,365000.0,Honda City E
2015,120000,Diesel,Manual,400000.0,Honda Amaze S
2007,100000,Petrol,Manual,200000.0,Honda City GXi
2020,15000,Petrol,Manual,925000.0,Honda WR-V i-VTEC
2017,21000,Petrol,Manual,690000.0,Honda Jazz 1.2
2008,104184,Petrol,Manual,128000.0,Honda City EXi
2013,66000,Petrol,Manual,400000.0,Honda Brio S
2017,88600,Diesel,Manual,760000.0,Honda WR-V i-DTEC
2014,32000,Petrol,Manual,335000.0,Honda Brio S
2022,27690,Petrol,Manual,1050000.0,Honda City V
2012,91030,Petrol,Manual,308000.0,Honda City S
2017,38283,Petrol,Manual,675000.0,Honda BR-V i-VTEC
2014,39000,Petrol,Manual,351000.0,Honda Brio V
2015,125308,Petrol,Manual,500000.0,Honda City i
2014,58200,Petrol,Automatic,545000.0,Honda City i
2008,70000,Petrol,Manual,385000.0,Honda Civic 1.8
2014,80000,Diesel,Manual,545000.0,Honda City i
2014,28000,Petrol,Manual,300000.0,Honda Brio S
2021,2867,Petrol,Manual,750000.0,Honda Amaze S
2013,40393,Petrol,Manual,335000.0,Honda Amaze SX
2015,46067,Petrol,Automatic,475000.0,Honda Amaze S
2010,64000,Petrol,Manual,335000.0,Honda City 1.5
